MTU (CET/CEST);Day-ahead Price [EUR/MWh];Currency;BZN|DK1
19.01.2023 01:00 - 19.01.2023 02:00;10698;EUR;
19.01.2023 02:00 - 19.01.2023 03:00;10497;EUR;
19.01.2023 03:00 - 19.01.2023 04:00;10172;EUR;
19.01.2023 04:00 - 19.01.2023 05:00;9914;EUR;
19.01.2023 05:00 - 19.01.2023 06:00;11095;EUR;
19.01.2023 06:00 - 19.01.2023 07:00;11822;EUR;
19.01.2023 07:00 - 19.01.2023 08:00;14962;EUR;
19.01.2023 08:00 - 19.01.2023 09:00;15993;EUR;
19.01.2023 09:00 - 19.01.2023 10:00;15588;EUR;
19.01.2023 10:00 - 19.01.2023 11:00;15481;EUR;
19.01.2023 11:00 - 19.01.2023 12:00;13863;EUR;
19.01.2023 12:00 - 19.01.2023 13:00;15007;EUR;
19.01.2023 13:00 - 19.01.2023 14:00;15487;EUR;
19.01.2023 14:00 - 19.01.2023 15:00;16049;EUR;
19.01.2023 15:00 - 19.01.2023 16:00;17596;EUR;
19.01.2023 16:00 - 19.01.2023 17:00;18629;EUR;
19.01.2023 17:00 - 19.01.2023 18:00;19873;EUR;
19.01.2023 18:00 - 19.01.2023 19:00;19757;EUR;
19.01.2023 19:00 - 19.01.2023 20:00;17143;EUR;
19.01.2023 20:00 - 19.01.2023 21:00;15000;EUR;
19.01.2023 21:00 - 19.01.2023 22:00;14841;EUR;
19.01.2023 22:00 - 19.01.2023 23:00;14934;EUR;
19.01.2023 23:00 - 20.01.2023 00:00;13900;EUR;
20.01.2023 00:00 - 20.01.2023 01:00;14689;EUR;
20.01.2023 01:00 - 20.01.2023 02:00;14450;EUR;
20.01.2023 02:00 - 20.01.2023 03:00;14244;EUR;
20.01.2023 03:00 - 20.01.2023 04:00;14280;EUR;
20.01.2023 04:00 - 20.01.2023 05:00;14498;EUR;
20.01.2023 05:00 - 20.01.2023 06:00;15050;EUR;
20.01.2023 06:00 - 20.01.2023 07:00;17601;EUR;
20.01.2023 07:00 - 20.01.2023 08:00;20807;EUR;
20.01.2023 08:00 - 20.01.2023 09:00;23506;EUR;
20.01.2023 09:00 - 20.01.2023 10:00;22170;EUR;
20.01.2023 10:00 - 20.01.2023 11:00;20977;EUR;
20.01.2023 11:00 - 20.01.2023 12:00;20152;EUR;
20.01.2023 12:00 - 20.01.2023 13:00;18926;EUR;
20.01.2023 13:00 - 20.01.2023 14:00;18163;EUR;
20.01.2023 14:00 - 20.01.2023 15:00;18236;EUR;
20.01.2023 15:00 - 20.01.2023 16:00;19200;EUR;
20.01.2023 16:00 - 20.01.2023 17:00;20000;EUR;
20.01.2023 17:00 - 20.01.2023 18:00;20822;EUR;
20.01.2023 18:00 - 20.01.2023 19:00;20840;EUR;
20.01.2023 19:00 - 20.01.2023 20:00;19700;EUR;
20.01.2023 20:00 - 20.01.2023 21:00;17570;EUR;
20.01.2023 21:00 - 20.01.2023 22:00;16637;EUR;
20.01.2023 22:00 - 20.01.2023 23:00;16310;EUR;
20.01.2023 23:00 - 21.01.2023 00:00;14755;EUR;
21.01.2023 00:00 - 21.01.2023 01:00;14413;EUR;
21.01.2023 01:00 - 21.01.2023 02:00;14006;EUR;
21.01.2023 02:00 - 21.01.2023 03:00;14019;EUR;
21.01.2023 03:00 - 21.01.2023 04:00;13374;EUR;
21.01.2023 04:00 - 21.01.2023 05:00;13124;EUR;
21.01.2023 05:00 - 21.01.2023 06:00;13206;EUR;
21.01.2023 06:00 - 21.01.2023 07:00;13047;EUR;
21.01.2023 07:00 - 21.01.2023 08:00;14025;EUR;
21.01.2023 08:00 - 21.01.2023 09:00;15248;EUR;
21.01.2023 09:00 - 21.01.2023 10:00;17166;EUR;
21.01.2023 10:00 - 21.01.2023 11:00;17001;EUR;
21.01.2023 11:00 - 21.01.2023 12:00;15694;EUR;
21.01.2023 12:00 - 21.01.2023 13:00;14791;EUR;
21.01.2023 13:00 - 21.01.2023 14:00;13702;EUR;
21.01.2023 14:00 - 21.01.2023 15:00;13658;EUR;
21.01.2023 15:00 - 21.01.2023 16:00;13590;EUR;
21.01.2023 16:00 - 21.01.2023 17:00;14422;EUR;
21.01.2023 17:00 - 21.01.2023 18:00;17392;EUR;
21.01.2023 18:00 - 21.01.2023 19:00;17889;EUR;
21.01.2023 19:00 - 21.01.2023 20:00;14352;EUR;
21.01.2023 20:00 - 21.01.2023 21:00;13853;EUR;
21.01.2023 21:00 - 21.01.2023 22:00;13604;EUR;
21.01.2023 22:00 - 21.01.2023 23:00;13188;EUR;
21.01.2023 23:00 - 22.01.2023 00:00;11776;EUR;
22.01.2023 00:00 - 22.01.2023 01:00;12760;EUR;
22.01.2023 01:00 - 22.01.2023 02:00;11901;EUR;
22.01.2023 02:00 - 22.01.2023 03:00;11677;EUR;
22.01.2023 03:00 - 22.01.2023 04:00;11835;EUR;
22.01.2023 04:00 - 22.01.2023 05:00;12212;EUR;
22.01.2023 05:00 - 22.01.2023 06:00;11779;EUR;
22.01.2023 06:00 - 22.01.2023 07:00;12760;EUR;
22.01.2023 07:00 - 22.01.2023 08:00;12760;EUR;
22.01.2023 08:00 - 22.01.2023 09:00;13751;EUR;
22.01.2023 09:00 - 22.01.2023 10:00;14582;EUR;
22.01.2023 10:00 - 22.01.2023 11:00;15128;EUR;
22.01.2023 11:00 - 22.01.2023 12:00;15310;EUR;
22.01.2023 12:00 - 22.01.2023 13:00;14630;EUR;
22.01.2023 13:00 - 22.01.2023 14:00;15000;EUR;
22.01.2023 14:00 - 22.01.2023 15:00;15490;EUR;
22.01.2023 15:00 - 22.01.2023 16:00;15749;EUR;
22.01.2023 16:00 - 22.01.2023 17:00;17103;EUR;
22.01.2023 17:00 - 22.01.2023 18:00;19199;EUR;
22.01.2023 18:00 - 22.01.2023 19:00;20207;EUR;
22.01.2023 19:00 - 22.01.2023 20:00;19917;EUR;
22.01.2023 20:00 - 22.01.2023 21:00;17471;EUR;
22.01.2023 21:00 - 22.01.2023 22:00;16640;EUR;
22.01.2023 22:00 - 22.01.2023 23:00;15735;EUR;
22.01.2023 23:00 - 23.01.2023 00:00;14830;EUR;
23.01.2023 00:00 - 23.01.2023 01:00;14896;EUR;
23.01.2023 01:00 - 23.01.2023 02:00;14900;EUR;
23.01.2023 02:00 - 23.01.2023 03:00;14840;EUR;
23.01.2023 03:00 - 23.01.2023 04:00;14759;EUR;
23.01.2023 04:00 - 23.01.2023 05:00;14988;EUR;
23.01.2023 05:00 - 23.01.2023 06:00;15032;EUR;
23.01.2023 06:00 - 23.01.2023 07:00;18996;EUR;
23.01.2023 07:00 - 23.01.2023 08:00;22654;EUR;
23.01.2023 08:00 - 23.01.2023 09:00;25792;EUR;
23.01.2023 09:00 - 23.01.2023 10:00;27022;EUR;
23.01.2023 10:00 - 23.01.2023 11:00;24994;EUR;
23.01.2023 11:00 - 23.01.2023 12:00;23023;EUR;
23.01.2023 12:00 - 23.01.2023 13:00;22095;EUR;
23.01.2023 13:00 - 23.01.2023 14:00;21918;EUR;
23.01.2023 14:00 - 23.01.2023 15:00;21969;EUR;
23.01.2023 15:00 - 23.01.2023 16:00;21899;EUR;
23.01.2023 16:00 - 23.01.2023 17:00;22458;EUR;
23.01.2023 17:00 - 23.01.2023 18:00;24890;EUR;
23.01.2023 18:00 - 23.01.2023 19:00;24807;EUR;
23.01.2023 19:00 - 23.01.2023 20:00;22319;EUR;
23.01.2023 20:00 - 23.01.2023 21:00;20353;EUR;
23.01.2023 21:00 - 23.01.2023 22:00;18401;EUR;
23.01.2023 22:00 - 23.01.2023 23:00;17209;EUR;
23.01.2023 23:00 - 24.01.2023 00:00;15701;EUR;
24.01.2023 00:00 - 24.01.2023 01:00;16485;EUR;
24.01.2023 01:00 - 24.01.2023 02:00;16005;EUR;
24.01.2023 02:00 - 24.01.2023 03:00;14590;EUR;
24.01.2023 03:00 - 24.01.2023 04:00;14240;EUR;
24.01.2023 04:00 - 24.01.2023 05:00;15362;EUR;
24.01.2023 05:00 - 24.01.2023 06:00;15670;EUR;
24.01.2023 06:00 - 24.01.2023 07:00;18361;EUR;
24.01.2023 07:00 - 24.01.2023 08:00;21008;EUR;
24.01.2023 08:00 - 24.01.2023 09:00;25110;EUR;
24.01.2023 09:00 - 24.01.2023 10:00;25643;EUR;
24.01.2023 10:00 - 24.01.2023 11:00;23866;EUR;
24.01.2023 11:00 - 24.01.2023 12:00;22996;EUR;
24.01.2023 12:00 - 24.01.2023 13:00;21785;EUR;
24.01.2023 13:00 - 24.01.2023 14:00;20599;EUR;
24.01.2023 14:00 - 24.01.2023 15:00;21528;EUR;
24.01.2023 15:00 - 24.01.2023 16:00;21798;EUR;
24.01.2023 16:00 - 24.01.2023 17:00;22458;EUR;
24.01.2023 17:00 - 24.01.2023 18:00;25000;EUR;
24.01.2023 18:00 - 24.01.2023 19:00;25000;EUR;
24.01.2023 19:00 - 24.01.2023 20:00;23114;EUR;
24.01.2023 20:00 - 24.01.2023 21:00;20729;EUR;
24.01.2023 21:00 - 24.01.2023 22:00;17545;EUR;
24.01.2023 22:00 - 24.01.2023 23:00;13753;EUR;
24.01.2023 23:00 - 25.01.2023 00:00;12870;EUR;
25.01.2023 00:00 - 25.01.2023 01:00;12472;EUR;
25.01.2023 01:00 - 25.01.2023 02:00;12025;EUR;
25.01.2023 02:00 - 25.01.2023 03:00;11841;EUR;
25.01.2023 03:00 - 25.01.2023 04:00;11666;EUR;
25.01.2023 04:00 - 25.01.2023 05:00;11685;EUR;
25.01.2023 05:00 - 25.01.2023 06:00;12089;EUR;
25.01.2023 06:00 - 25.01.2023 07:00;12527;EUR;
25.01.2023 07:00 - 25.01.2023 08:00;16399;EUR;
25.01.2023 08:00 - 25.01.2023 09:00;16560;EUR;
25.01.2023 09:00 - 25.01.2023 10:00;15477;EUR;
25.01.2023 10:00 - 25.01.2023 11:00;14067;EUR;
25.01.2023 11:00 - 25.01.2023 12:00;13396;EUR;
25.01.2023 12:00 - 25.01.2023 13:00;13119;EUR;
25.01.2023 13:00 - 25.01.2023 14:00;13085;EUR;
25.01.2023 14:00 - 25.01.2023 15:00;13050;EUR;
25.01.2023 15:00 - 25.01.2023 16:00;11826;EUR;
25.01.2023 16:00 - 25.01.2023 17:00;13335;EUR;
25.01.2023 17:00 - 25.01.2023 18:00;14381;EUR;
25.01.2023 18:00 - 25.01.2023 19:00;13952;EUR;
25.01.2023 19:00 - 25.01.2023 20:00;13138;EUR;
25.01.2023 20:00 - 25.01.2023 21:00;15000;EUR;
25.01.2023 21:00 - 25.01.2023 22:00;14430;EUR;
25.01.2023 22:00 - 25.01.2023 23:00;14508;EUR;
25.01.2023 23:00 - 26.01.2023 00:00;13500;EUR;
26.01.2023 00:00 - 26.01.2023 01:00;15000;EUR;
26.01.2023 01:00 - 26.01.2023 02:00;12938;EUR;
26.01.2023 02:00 - 26.01.2023 03:00;12848;EUR;
26.01.2023 03:00 - 26.01.2023 04:00;12661;EUR;
26.01.2023 04:00 - 26.01.2023 05:00;12894;EUR;
26.01.2023 05:00 - 26.01.2023 06:00;12400;EUR;
26.01.2023 06:00 - 26.01.2023 07:00;16039;EUR;
26.01.2023 07:00 - 26.01.2023 08:00;18249;EUR;
26.01.2023 08:00 - 26.01.2023 09:00;19895;EUR;
26.01.2023 09:00 - 26.01.2023 10:00;19906;EUR;
26.01.2023 10:00 - 26.01.2023 11:00;19238;EUR;
26.01.2023 11:00 - 26.01.2023 12:00;17800;EUR;
26.01.2023 12:00 - 26.01.2023 13:00;13644;EUR;
26.01.2023 13:00 - 26.01.2023 14:00;13000;EUR;
26.01.2023 14:00 - 26.01.2023 15:00;12796;EUR;
26.01.2023 15:00 - 26.01.2023 16:00;13548;EUR;
26.01.2023 16:00 - 26.01.2023 17:00;15300;EUR;
26.01.2023 17:00 - 26.01.2023 18:00;18620;EUR;
26.01.2023 18:00 - 26.01.2023 19:00;15000;EUR;
26.01.2023 19:00 - 26.01.2023 20:00;13392;EUR;
26.01.2023 20:00 - 26.01.2023 21:00;12809;EUR;
26.01.2023 21:00 - 26.01.2023 22:00;12460;EUR;
26.01.2023 22:00 - 26.01.2023 23:00;12519;EUR;
26.01.2023 23:00 - 27.01.2023 00:00;12222;EUR;
27.01.2023 00:00 - 27.01.2023 01:00;13500;EUR;
27.01.2023 01:00 - 27.01.2023 02:00;11461;EUR;
27.01.2023 02:00 - 27.01.2023 03:00;11974;EUR;
27.01.2023 03:00 - 27.01.2023 04:00;11600;EUR;
27.01.2023 04:00 - 27.01.2023 05:00;12408;EUR;
27.01.2023 05:00 - 27.01.2023 06:00;12726;EUR;
27.01.2023 06:00 - 27.01.2023 07:00;14970;EUR;
27.01.2023 07:00 - 27.01.2023 08:00;17610;EUR;
27.01.2023 08:00 - 27.01.2023 09:00;19500;EUR;
27.01.2023 09:00 - 27.01.2023 10:00;19919;EUR;
27.01.2023 10:00 - 27.01.2023 11:00;19500;EUR;
27.01.2023 11:00 - 27.01.2023 12:00;19000;EUR;
27.01.2023 12:00 - 27.01.2023 13:00;18306;EUR;
27.01.2023 13:00 - 27.01.2023 14:00;18000;EUR;
27.01.2023 14:00 - 27.01.2023 15:00;18150;EUR;
27.01.2023 15:00 - 27.01.2023 16:00;18500;EUR;
27.01.2023 16:00 - 27.01.2023 17:00;18800;EUR;
27.01.2023 17:00 - 27.01.2023 18:00;19805;EUR;
27.01.2023 18:00 - 27.01.2023 19:00;20070;EUR;
27.01.2023 19:00 - 27.01.2023 20:00;19370;EUR;
27.01.2023 20:00 - 27.01.2023 21:00;18150;EUR;
27.01.2023 21:00 - 27.01.2023 22:00;16625;EUR;
27.01.2023 22:00 - 27.01.2023 23:00;15512;EUR;
27.01.2023 23:00 - 28.01.2023 00:00;14600;EUR;
28.01.2023 00:00 - 28.01.2023 01:00;13990;EUR;
28.01.2023 01:00 - 28.01.2023 02:00;13500;EUR;
28.01.2023 02:00 - 28.01.2023 03:00;13332;EUR;
28.01.2023 03:00 - 28.01.2023 04:00;12947;EUR;
28.01.2023 04:00 - 28.01.2023 05:00;12522;EUR;
28.01.2023 05:00 - 28.01.2023 06:00;12282;EUR;
28.01.2023 06:00 - 28.01.2023 07:00;12880;EUR;
28.01.2023 07:00 - 28.01.2023 08:00;11825;EUR;
28.01.2023 08:00 - 28.01.2023 09:00;11694;EUR;
28.01.2023 09:00 - 28.01.2023 10:00;11714;EUR;
28.01.2023 10:00 - 28.01.2023 11:00;11903;EUR;
28.01.2023 11:00 - 28.01.2023 12:00;11712;EUR;
28.01.2023 12:00 - 28.01.2023 13:00;11261;EUR;
28.01.2023 13:00 - 28.01.2023 14:00;11143;EUR;
28.01.2023 14:00 - 28.01.2023 15:00;11066;EUR;
28.01.2023 15:00 - 28.01.2023 16:00;10970;EUR;
28.01.2023 16:00 - 28.01.2023 17:00;11262;EUR;
28.01.2023 17:00 - 28.01.2023 18:00;11420;EUR;
28.01.2023 18:00 - 28.01.2023 19:00;11266;EUR;
28.01.2023 19:00 - 28.01.2023 20:00;11156;EUR;
28.01.2023 20:00 - 28.01.2023 21:00;10912;EUR;
28.01.2023 21:00 - 28.01.2023 22:00;10721;EUR;
28.01.2023 22:00 - 28.01.2023 23:00;10712;EUR;
28.01.2023 23:00 - 29.01.2023 00:00;10428;EUR;
29.01.2023 00:00 - 29.01.2023 01:00;10677;EUR;
29.01.2023 01:00 - 29.01.2023 02:00;10432;EUR;
29.01.2023 02:00 - 29.01.2023 03:00;10211;EUR;
29.01.2023 03:00 - 29.01.2023 04:00;10149;EUR;
29.01.2023 04:00 - 29.01.2023 05:00;10118;EUR;
29.01.2023 05:00 - 29.01.2023 06:00;10195;EUR;
29.01.2023 06:00 - 29.01.2023 07:00;10084;EUR;
29.01.2023 07:00 - 29.01.2023 08:00;10195;EUR;
29.01.2023 08:00 - 29.01.2023 09:00;10220;EUR;
29.01.2023 09:00 - 29.01.2023 10:00;10289;EUR;
29.01.2023 10:00 - 29.01.2023 11:00;9918;EUR;
29.01.2023 11:00 - 29.01.2023 12:00;9750;EUR;
29.01.2023 12:00 - 29.01.2023 13:00;9566;EUR;
29.01.2023 13:00 - 29.01.2023 14:00;9438;EUR;
29.01.2023 14:00 - 29.01.2023 15:00;9408;EUR;
29.01.2023 15:00 - 29.01.2023 16:00;9405;EUR;
29.01.2023 16:00 - 29.01.2023 17:00;9435;EUR;
29.01.2023 17:00 - 29.01.2023 18:00;9495;EUR;
29.01.2023 18:00 - 29.01.2023 19:00;9142;EUR;
29.01.2023 19:00 - 29.01.2023 20:00;9116;EUR;
29.01.2023 20:00 - 29.01.2023 21:00;9101;EUR;
29.01.2023 21:00 - 29.01.2023 22:00;8500;EUR;
29.01.2023 22:00 - 29.01.2023 23:00;7983;EUR;
29.01.2023 23:00 - 30.01.2023 00:00;6436;EUR;
30.01.2023 00:00 - 30.01.2023 01:00;4500;EUR;
30.01.2023 01:00 - 30.01.2023 02:00;590;EUR;
30.01.2023 02:00 - 30.01.2023 03:00;507;EUR;
30.01.2023 03:00 - 30.01.2023 04:00;203;EUR;
30.01.2023 04:00 - 30.01.2023 05:00;903;EUR;
30.01.2023 05:00 - 30.01.2023 06:00;3747;EUR;
30.01.2023 06:00 - 30.01.2023 07:00;8810;EUR;
30.01.2023 07:00 - 30.01.2023 08:00;9354;EUR;
30.01.2023 08:00 - 30.01.2023 09:00;9908;EUR;
30.01.2023 09:00 - 30.01.2023 10:00;9484;EUR;
30.01.2023 10:00 - 30.01.2023 11:00;9231;EUR;
30.01.2023 11:00 - 30.01.2023 12:00;8823;EUR;
30.01.2023 12:00 - 30.01.2023 13:00;8490;EUR;
30.01.2023 13:00 - 30.01.2023 14:00;8338;EUR;
30.01.2023 14:00 - 30.01.2023 15:00;8755;EUR;
30.01.2023 15:00 - 30.01.2023 16:00;8612;EUR;
30.01.2023 16:00 - 30.01.2023 17:00;8969;EUR;
30.01.2023 17:00 - 30.01.2023 18:00;9415;EUR;
30.01.2023 18:00 - 30.01.2023 19:00;9136;EUR;
30.01.2023 19:00 - 30.01.2023 20:00;9234;EUR;
30.01.2023 20:00 - 30.01.2023 21:00;8995;EUR;
30.01.2023 21:00 - 30.01.2023 22:00;8685;EUR;
30.01.2023 22:00 - 30.01.2023 23:00;8815;EUR;
30.01.2023 23:00 - 31.01.2023 00:00;8973;EUR;
31.01.2023 00:00 - 31.01.2023 01:00;9043;EUR;
31.01.2023 01:00 - 31.01.2023 02:00;8970;EUR;
31.01.2023 02:00 - 31.01.2023 03:00;9297;EUR;
31.01.2023 03:00 - 31.01.2023 04:00;9370;EUR;
31.01.2023 04:00 - 31.01.2023 05:00;9462;EUR;
31.01.2023 05:00 - 31.01.2023 06:00;9848;EUR;
31.01.2023 06:00 - 31.01.2023 07:00;10416;EUR;
31.01.2023 07:00 - 31.01.2023 08:00;11458;EUR;
31.01.2023 08:00 - 31.01.2023 09:00;11501;EUR;
31.01.2023 09:00 - 31.01.2023 10:00;11254;EUR;
31.01.2023 10:00 - 31.01.2023 11:00;10885;EUR;
31.01.2023 11:00 - 31.01.2023 12:00;10109;EUR;
31.01.2023 12:00 - 31.01.2023 13:00;9770;EUR;
31.01.2023 13:00 - 31.01.2023 14:00;9653;EUR;
31.01.2023 14:00 - 31.01.2023 15:00;9325;EUR;
31.01.2023 15:00 - 31.01.2023 16:00;9336;EUR;
31.01.2023 16:00 - 31.01.2023 17:00;9368;EUR;
31.01.2023 17:00 - 31.01.2023 18:00;9998;EUR;
31.01.2023 18:00 - 31.01.2023 19:00;9909;EUR;
31.01.2023 19:00 - 31.01.2023 20:00;9530;EUR;
31.01.2023 20:00 - 31.01.2023 21:00;9005;EUR;
31.01.2023 21:00 - 31.01.2023 22:00;8412;EUR;
31.01.2023 22:00 - 31.01.2023 23:00;8610;EUR;
31.01.2023 23:00 - 01.02.2023 00:00;6956;EUR;
01.02.2023 00:00 - 01.02.2023 01:00;7994;EUR;
01.02.2023 01:00 - 01.02.2023 02:00;6755;EUR;
01.02.2023 02:00 - 01.02.2023 03:00;6569;EUR;
01.02.2023 03:00 - 01.02.2023 04:00;6682;EUR;
01.02.2023 04:00 - 01.02.2023 05:00;5759;EUR;
01.02.2023 05:00 - 01.02.2023 06:00;7496;EUR;
01.02.2023 06:00 - 01.02.2023 07:00;9598;EUR;
01.02.2023 07:00 - 01.02.2023 08:00;11004;EUR;
01.02.2023 08:00 - 01.02.2023 09:00;11700;EUR;
01.02.2023 09:00 - 01.02.2023 10:00;11046;EUR;
01.02.2023 10:00 - 01.02.2023 11:00;10503;EUR;
01.02.2023 11:00 - 01.02.2023 12:00;10145;EUR;
01.02.2023 12:00 - 01.02.2023 13:00;9934;EUR;
01.02.2023 13:00 - 01.02.2023 14:00;9853;EUR;
01.02.2023 14:00 - 01.02.2023 15:00;9597;EUR;
01.02.2023 15:00 - 01.02.2023 16:00;9856;EUR;
01.02.2023 16:00 - 01.02.2023 17:00;10269;EUR;
01.02.2023 17:00 - 01.02.2023 18:00;10912;EUR;
01.02.2023 18:00 - 01.02.2023 19:00;10890;EUR;
01.02.2023 19:00 - 01.02.2023 20:00;10088;EUR;
01.02.2023 20:00 - 01.02.2023 21:00;9765;EUR;
01.02.2023 21:00 - 01.02.2023 22:00;9475;EUR;
01.02.2023 22:00 - 01.02.2023 23:00;8642;EUR;
01.02.2023 23:00 - 02.02.2023 00:00;7859;EUR;
02.02.2023 00:00 - 02.02.2023 01:00;7430;EUR;
02.02.2023 01:00 - 02.02.2023 02:00;6777;EUR;
02.02.2023 02:00 - 02.02.2023 03:00;7135;EUR;
02.02.2023 03:00 - 02.02.2023 04:00;7675;EUR;
02.02.2023 04:00 - 02.02.2023 05:00;8855;EUR;
02.02.2023 05:00 - 02.02.2023 06:00;9311;EUR;
02.02.2023 06:00 - 02.02.2023 07:00;11621;EUR;
02.02.2023 07:00 - 02.02.2023 08:00;13922;EUR;
02.02.2023 08:00 - 02.02.2023 09:00;16987;EUR;
02.02.2023 09:00 - 02.02.2023 10:00;17820;EUR;
02.02.2023 10:00 - 02.02.2023 11:00;17009;EUR;
02.02.2023 11:00 - 02.02.2023 12:00;16721;EUR;
02.02.2023 12:00 - 02.02.2023 13:00;15686;EUR;
02.02.2023 13:00 - 02.02.2023 14:00;15274;EUR;
02.02.2023 14:00 - 02.02.2023 15:00;16144;EUR;
02.02.2023 15:00 - 02.02.2023 16:00;16339;EUR;
02.02.2023 16:00 - 02.02.2023 17:00;16728;EUR;
02.02.2023 17:00 - 02.02.2023 18:00;17817;EUR;
02.02.2023 18:00 - 02.02.2023 19:00;18312;EUR;
02.02.2023 19:00 - 02.02.2023 20:00;17218;EUR;
02.02.2023 20:00 - 02.02.2023 21:00;14209;EUR;
02.02.2023 21:00 - 02.02.2023 22:00;14354;EUR;
02.02.2023 22:00 - 02.02.2023 23:00;13015;EUR;
02.02.2023 23:00 - 03.02.2023 00:00;10393;EUR;
03.02.2023 00:00 - 03.02.2023 01:00;10830;EUR;
03.02.2023 01:00 - 03.02.2023 02:00;10027;EUR;
03.02.2023 02:00 - 03.02.2023 03:00;9382;EUR;
03.02.2023 03:00 - 03.02.2023 04:00;8783;EUR;
03.02.2023 04:00 - 03.02.2023 05:00;8403;EUR;
03.02.2023 05:00 - 03.02.2023 06:00;8902;EUR;
03.02.2023 06:00 - 03.02.2023 07:00;10027;EUR;
03.02.2023 07:00 - 03.02.2023 08:00;10773;EUR;
03.02.2023 08:00 - 03.02.2023 09:00;10844;EUR;
03.02.2023 09:00 - 03.02.2023 10:00;10426;EUR;
03.02.2023 10:00 - 03.02.2023 11:00;9713;EUR;
03.02.2023 11:00 - 03.02.2023 12:00;9983;EUR;
03.02.2023 12:00 - 03.02.2023 13:00;9904;EUR;
03.02.2023 13:00 - 03.02.2023 14:00;9717;EUR;
03.02.2023 14:00 - 03.02.2023 15:00;9741;EUR;
03.02.2023 15:00 - 03.02.2023 16:00;10200;EUR;
03.02.2023 16:00 - 03.02.2023 17:00;10772;EUR;
03.02.2023 17:00 - 03.02.2023 18:00;11240;EUR;
03.02.2023 18:00 - 03.02.2023 19:00;11352;EUR;
03.02.2023 19:00 - 03.02.2023 20:00;10807;EUR;
03.02.2023 20:00 - 03.02.2023 21:00;10370;EUR;
03.02.2023 21:00 - 03.02.2023 22:00;10295;EUR;
03.02.2023 22:00 - 03.02.2023 23:00;11319;EUR;
03.02.2023 23:00 - 04.02.2023 00:00;10780;EUR;
04.02.2023 00:00 - 04.02.2023 01:00;9936;EUR;
04.02.2023 01:00 - 04.02.2023 02:00;10625;EUR;
04.02.2023 02:00 - 04.02.2023 03:00;11315;EUR;
04.02.2023 03:00 - 04.02.2023 04:00;12177;EUR;
04.02.2023 04:00 - 04.02.2023 05:00;12538;EUR;
04.02.2023 05:00 - 04.02.2023 06:00;12744;EUR;
04.02.2023 06:00 - 04.02.2023 07:00;13734;EUR;
04.02.2023 07:00 - 04.02.2023 08:00;15631;EUR;
04.02.2023 08:00 - 04.02.2023 09:00;16419;EUR;
04.02.2023 09:00 - 04.02.2023 10:00;16983;EUR;
04.02.2023 10:00 - 04.02.2023 11:00;16411;EUR;
04.02.2023 11:00 - 04.02.2023 12:00;15639;EUR;
04.02.2023 12:00 - 04.02.2023 13:00;14884;EUR;
04.02.2023 13:00 - 04.02.2023 14:00;13337;EUR;
04.02.2023 14:00 - 04.02.2023 15:00;13409;EUR;
04.02.2023 15:00 - 04.02.2023 16:00;14161;EUR;
04.02.2023 16:00 - 04.02.2023 17:00;15536;EUR;
04.02.2023 17:00 - 04.02.2023 18:00;17029;EUR;
04.02.2023 18:00 - 04.02.2023 19:00;18416;EUR;
04.02.2023 19:00 - 04.02.2023 20:00;17996;EUR;
04.02.2023 20:00 - 04.02.2023 21:00;16788;EUR;
04.02.2023 21:00 - 04.02.2023 22:00;15813;EUR;
04.02.2023 22:00 - 04.02.2023 23:00;13162;EUR;
04.02.2023 23:00 - 05.02.2023 00:00;10803;EUR;
05.02.2023 00:00 - 05.02.2023 01:00;11129;EUR;
05.02.2023 01:00 - 05.02.2023 02:00;10444;EUR;
05.02.2023 02:00 - 05.02.2023 03:00;10367;EUR;
05.02.2023 03:00 - 05.02.2023 04:00;10179;EUR;
05.02.2023 04:00 - 05.02.2023 05:00;10099;EUR;
05.02.2023 05:00 - 05.02.2023 06:00;10262;EUR;
05.02.2023 06:00 - 05.02.2023 07:00;10275;EUR;
05.02.2023 07:00 - 05.02.2023 08:00;10543;EUR;
05.02.2023 08:00 - 05.02.2023 09:00;10689;EUR;
05.02.2023 09:00 - 05.02.2023 10:00;10827;EUR;
05.02.2023 10:00 - 05.02.2023 11:00;10854;EUR;
05.02.2023 11:00 - 05.02.2023 12:00;10707;EUR;
05.02.2023 12:00 - 05.02.2023 13:00;10162;EUR;
05.02.2023 13:00 - 05.02.2023 14:00;10069;EUR;
05.02.2023 14:00 - 05.02.2023 15:00;10635;EUR;
05.02.2023 15:00 - 05.02.2023 16:00;11271;EUR;
05.02.2023 16:00 - 05.02.2023 17:00;11997;EUR;
05.02.2023 17:00 - 05.02.2023 18:00;13705;EUR;
05.02.2023 18:00 - 05.02.2023 19:00;13363;EUR;
05.02.2023 19:00 - 05.02.2023 20:00;13116;EUR;
05.02.2023 20:00 - 05.02.2023 21:00;12411;EUR;
05.02.2023 21:00 - 05.02.2023 22:00;12183;EUR;
05.02.2023 22:00 - 05.02.2023 23:00;12521;EUR;
05.02.2023 23:00 - 06.02.2023 00:00;12646;EUR;
06.02.2023 00:00 - 06.02.2023 01:00;14500;EUR;
06.02.2023 01:00 - 06.02.2023 02:00;14373;EUR;
06.02.2023 02:00 - 06.02.2023 03:00;14541;EUR;
06.02.2023 03:00 - 06.02.2023 04:00;14209;EUR;
06.02.2023 04:00 - 06.02.2023 05:00;14010;EUR;
