MTU (CET/CEST);Day-ahead Price [EUR/MWh];Currency;BZN|DK1
05.01.2023 03:00 - 05.01.2023 04:00;12;EUR;
05.01.2023 04:00 - 05.01.2023 05:00;223;EUR;
05.01.2023 05:00 - 05.01.2023 06:00;1007;EUR;
05.01.2023 06:00 - 05.01.2023 07:00;6104;EUR;
05.01.2023 07:00 - 05.01.2023 08:00;8719;EUR;
05.01.2023 08:00 - 05.01.2023 09:00;9584;EUR;
05.01.2023 09:00 - 05.01.2023 10:00;12555;EUR;
05.01.2023 10:00 - 05.01.2023 11:00;13192;EUR;
05.01.2023 11:00 - 05.01.2023 12:00;14307;EUR;
05.01.2023 12:00 - 05.01.2023 13:00;14091;EUR;
05.01.2023 13:00 - 05.01.2023 14:00;14258;EUR;
05.01.2023 14:00 - 05.01.2023 15:00;15103;EUR;
05.01.2023 15:00 - 05.01.2023 16:00;15948;EUR;
05.01.2023 16:00 - 05.01.2023 17:00;17273;EUR;
05.01.2023 17:00 - 05.01.2023 18:00;19470;EUR;
05.01.2023 18:00 - 05.01.2023 19:00;19467;EUR;
05.01.2023 19:00 - 05.01.2023 20:00;17798;EUR;
05.01.2023 20:00 - 05.01.2023 21:00;16399;EUR;
05.01.2023 21:00 - 05.01.2023 22:00;15200;EUR;
05.01.2023 22:00 - 05.01.2023 23:00;14464;EUR;
05.01.2023 23:00 - 06.01.2023 00:00;12700;EUR;
06.01.2023 00:00 - 06.01.2023 01:00;10721;EUR;
06.01.2023 01:00 - 06.01.2023 02:00;10110;EUR;
06.01.2023 02:00 - 06.01.2023 03:00;9673;EUR;
06.01.2023 03:00 - 06.01.2023 04:00;8234;EUR;
06.01.2023 04:00 - 06.01.2023 05:00;8193;EUR;
06.01.2023 05:00 - 06.01.2023 06:00;8403;EUR;
06.01.2023 06:00 - 06.01.2023 07:00;9725;EUR;
06.01.2023 07:00 - 06.01.2023 08:00;10651;EUR;
06.01.2023 08:00 - 06.01.2023 09:00;12070;EUR;
06.01.2023 09:00 - 06.01.2023 10:00;11686;EUR;
06.01.2023 10:00 - 06.01.2023 11:00;11285;EUR;
06.01.2023 11:00 - 06.01.2023 12:00;11337;EUR;
06.01.2023 12:00 - 06.01.2023 13:00;11500;EUR;
06.01.2023 13:00 - 06.01.2023 14:00;10978;EUR;
