date,price
08.01.2023 18:00,122.61
08.01.2023 19:00,109.11
08.01.2023 20:00,103.93
08.01.2023 21:00,98.43
08.01.2023 22:00,99.37
08.01.2023 23:00,81.34
09.01.2023 00:00,75.13
09.01.2023 01:00,64.38
09.01.2023 02:00,60.28
09.01.2023 03:00,39.41
09.01.2023 04:00,47.25
09.01.2023 05:00,69.07
09.01.2023 06:00,107.13
09.01.2023 07:00,160.00
09.01.2023 08:00,180.00
09.01.2023 09:00,177.14
09.01.2023 10:00,159.07
09.01.2023 11:00,160.57
09.01.2023 12:00,140.56
09.01.2023 13:00,137.67
09.01.2023 14:00,143.57
09.01.2023 15:00,151.02
09.01.2023 16:00,161.96
09.01.2023 17:00,174.34
09.01.2023 18:00,182.18
09.01.2023 19:00,170.24
09.01.2023 20:00,160.51
09.01.2023 21:00,138.93
09.01.2023 22:00,132.00
09.01.2023 23:00,108.31
10.01.2023 00:00,106.02
10.01.2023 01:00,96.71
10.01.2023 02:00,95.14
10.01.2023 03:00,90.36
10.01.2023 04:00,95.61
10.01.2023 05:00,108.60
10.01.2023 06:00,138.13
10.01.2023 07:00,154.73
10.01.2023 08:00,165.33
10.01.2023 09:00,160.42
10.01.2023 10:00,154.73
10.01.2023 11:00,146.45
10.01.2023 12:00,141.22
10.01.2023 13:00,141.68
10.01.2023 14:00,145.41
10.01.2023 15:00,145.92
10.01.2023 16:00,140.11
10.01.2023 17:00,146.34
10.01.2023 18:00,138.80
10.01.2023 19:00,124.44
10.01.2023 20:00,106.15
10.01.2023 21:00,86.53
10.01.2023 22:00,81.30
10.01.2023 23:00,42.96
11.01.2023 00:00,5.00
11.01.2023 01:00,0.16
11.01.2023 02:00,0.08
11.01.2023 03:00,0.01
11.01.2023 04:00,0.04
11.01.2023 05:00,2.75
11.01.2023 06:00,57.88
11.01.2023 07:00,91.11
11.01.2023 08:00,127.44
11.01.2023 09:00,126.54
11.01.2023 10:00,127.63
11.01.2023 11:00,124.81
11.01.2023 12:00,117.47
11.01.2023 13:00,110.54
11.01.2023 14:00,115.74
11.01.2023 15:00,117.70
11.01.2023 16:00,119.20
11.01.2023 17:00,128.28
11.01.2023 18:00,128.76
11.01.2023 19:00,122.70
11.01.2023 20:00,114.56
11.01.2023 21:00,93.47
11.01.2023 22:00,91.71
11.01.2023 23:00,68.54
12.01.2023 00:00,19.88
12.01.2023 01:00,5.55
12.01.2023 02:00,4.69
12.01.2023 03:00,0.10
12.01.2023 04:00,2.73
12.01.2023 05:00,24.94
12.01.2023 06:00,85.72
12.01.2023 07:00,111.55
12.01.2023 08:00,106.83
12.01.2023 09:00,97.83
12.01.2023 10:00,99.81
12.01.2023 11:00,101.10
12.01.2023 12:00,100.19
12.01.2023 13:00,99.64
12.01.2023 14:00,100.77
12.01.2023 15:00,102.13
12.01.2023 16:00,101.43
12.01.2023 17:00,112.01
12.01.2023 18:00,119.49
12.01.2023 19:00,100.79
12.01.2023 20:00,99.35
12.01.2023 21:00,84.77
12.01.2023 22:00,70.43
12.01.2023 23:00,39.57
13.01.2023 00:00,32.64
13.01.2023 01:00,16.99
13.01.2023 02:00,9.00
13.01.2023 03:00,2.65
13.01.2023 04:00,3.35
13.01.2023 05:00,25.26
13.01.2023 06:00,54.74
13.01.2023 07:00,87.88
13.01.2023 08:00,105.95
13.01.2023 09:00,100.64
13.01.2023 10:00,94.85
13.01.2023 11:00,84.93
13.01.2023 12:00,76.53
13.01.2023 13:00,70.24
13.01.2023 14:00,73.55
13.01.2023 15:00,79.85
13.01.2023 16:00,85.31
13.01.2023 17:00,96.90
13.01.2023 18:00,96.97
13.01.2023 19:00,95.91
13.01.2023 20:00,84.94
13.01.2023 21:00,76.89
13.01.2023 22:00,76.51
13.01.2023 23:00,68.30
14.01.2023 00:00,25.68
14.01.2023 01:00,34.62
14.01.2023 02:00,44.70
14.01.2023 03:00,41.23
14.01.2023 04:00,40.70
14.01.2023 05:00,40.68
14.01.2023 06:00,45.10
14.01.2023 07:00,53.40
14.01.2023 08:00,53.63
14.01.2023 09:00,56.89
14.01.2023 10:00,66.72
14.01.2023 11:00,65.56
14.01.2023 12:00,65.39
14.01.2023 13:00,62.69
14.01.2023 14:00,42.15
14.01.2023 15:00,19.92
14.01.2023 16:00,9.04
14.01.2023 17:00,11.04
14.01.2023 18:00,13.69
14.01.2023 19:00,6.84
14.01.2023 20:00,9.03
14.01.2023 21:00,9.07
14.01.2023 22:00,5.90
14.01.2023 23:00,5.19
15.01.2023 00:00,3.94
15.01.2023 01:00,1.71
15.01.2023 02:00,4.10
15.01.2023 03:00,2.65
15.01.2023 04:00,2.87
15.01.2023 05:00,4.01
15.01.2023 06:00,1.58
15.01.2023 07:00,1.74
15.01.2023 08:00,9.08
15.01.2023 09:00,10.31
15.01.2023 10:00,9.01
15.01.2023 11:00,8.03
15.01.2023 12:00,6.76
15.01.2023 13:00,0.42
15.01.2023 14:00,0.29
15.01.2023 15:00,0.82
15.01.2023 16:00,13.69
15.01.2023 17:00,30.90
15.01.2023 18:00,26.95
15.01.2023 19:00,25.27
15.01.2023 20:00,12.17
15.01.2023 21:00,19.69
15.01.2023 22:00,32.14
15.01.2023 23:00,37.47
16.01.2023 00:00,60.01
16.01.2023 01:00,60.01
16.01.2023 02:00,62.72
16.01.2023 03:00,56.10
16.01.2023 04:00,63.30
16.01.2023 05:00,87.00
16.01.2023 06:00,154.63
16.01.2023 07:00,175.11
16.01.2023 08:00,185.99
16.01.2023 09:00,170.00
16.01.2023 10:00,150.20
16.01.2023 11:00,150.89
16.01.2023 12:00,147.04
16.01.2023 13:00,140.87
16.01.2023 14:00,141.24
16.01.2023 15:00,145.69
16.01.2023 16:00,150.81
16.01.2023 17:00,166.79
16.01.2023 18:00,173.72
16.01.2023 19:00,150.50
16.01.2023 20:00,136.97
16.01.2023 21:00,127.74
16.01.2023 22:00,123.24
16.01.2023 23:00,109.40
17.01.2023 00:00,98.24
17.01.2023 01:00,94.61
17.01.2023 02:00,91.91
17.01.2023 03:00,89.51
17.01.2023 04:00,91.77
17.01.2023 05:00,100.00
17.01.2023 06:00,116.96
17.01.2023 07:00,140.80
17.01.2023 08:00,151.96
17.01.2023 09:00,136.10
17.01.2023 10:00,126.17
17.01.2023 11:00,122.75
17.01.2023 12:00,116.07
17.01.2023 13:00,129.38
17.01.2023 14:00,128.88
17.01.2023 15:00,137.50
17.01.2023 16:00,159.86
17.01.2023 17:00,156.43
17.01.2023 18:00,152.00
17.01.2023 19:00,145.40
17.01.2023 20:00,139.30
17.01.2023 21:00,136.15
17.01.2023 22:00,128.55
17.01.2023 23:00,124.32
18.01.2023 00:00,119.04
18.01.2023 01:00,118.07
18.01.2023 02:00,119.21
18.01.2023 03:00,118.93
18.01.2023 04:00,116.19
18.01.2023 05:00,121.91
18.01.2023 06:00,130.39
18.01.2023 07:00,166.40
18.01.2023 08:00,181.50
18.01.2023 09:00,176.56
18.01.2023 10:00,140.00
18.01.2023 11:00,130.36
18.01.2023 12:00,122.94
18.01.2023 13:00,120.00
18.01.2023 14:00,123.66
18.01.2023 15:00,140.00
18.01.2023 16:00,147.97
18.01.2023 17:00,160.00
18.01.2023 18:00,137.48
18.01.2023 19:00,130.34
18.01.2023 20:00,120.97
18.01.2023 21:00,119.90
18.01.2023 22:00,117.51
18.01.2023 23:00,111.46
19.01.2023 00:00,111.53
19.01.2023 01:00,106.98
19.01.2023 02:00,104.97
19.01.2023 03:00,101.72
19.01.2023 04:00,99.14
19.01.2023 05:00,110.95
19.01.2023 06:00,118.22
19.01.2023 07:00,149.62
19.01.2023 08:00,159.93
19.01.2023 09:00,155.88
19.01.2023 10:00,154.81
19.01.2023 11:00,138.63
19.01.2023 12:00,150.07
19.01.2023 13:00,154.87
19.01.2023 14:00,160.49
19.01.2023 15:00,175.96
19.01.2023 16:00,186.29
19.01.2023 17:00,198.73
19.01.2023 18:00,197.57
19.01.2023 19:00,171.43
19.01.2023 20:00,150.00
19.01.2023 21:00,148.41
19.01.2023 22:00,149.34
19.01.2023 23:00,139.00
20.01.2023 00:00,146.89
20.01.2023 01:00,144.50
20.01.2023 02:00,142.44
20.01.2023 03:00,142.80
20.01.2023 04:00,144.98
20.01.2023 05:00,150.50
20.01.2023 06:00,176.01
20.01.2023 07:00,208.07
20.01.2023 08:00,235.06
20.01.2023 09:00,221.70
20.01.2023 10:00,209.77
20.01.2023 11:00,201.52
20.01.2023 12:00,189.26
20.01.2023 13:00,181.63
20.01.2023 14:00,182.36
20.01.2023 15:00,192.00
20.01.2023 16:00,200.00
20.01.2023 17:00,208.22
20.01.2023 18:00,208.40
20.01.2023 19:00,197.00
20.01.2023 20:00,175.70
20.01.2023 21:00,166.37
20.01.2023 22:00,163.10
20.01.2023 23:00,147.55
21.01.2023 00:00,144.13
21.01.2023 01:00,140.06
21.01.2023 02:00,140.19
21.01.2023 03:00,133.74
21.01.2023 04:00,131.24
21.01.2023 05:00,132.06
21.01.2023 06:00,130.47
21.01.2023 07:00,140.25
21.01.2023 08:00,152.48
21.01.2023 09:00,171.66
21.01.2023 10:00,170.01
21.01.2023 11:00,156.94
21.01.2023 12:00,147.91
21.01.2023 13:00,137.02
21.01.2023 14:00,136.58
21.01.2023 15:00,135.90
21.01.2023 16:00,144.22
21.01.2023 17:00,173.92
21.01.2023 18:00,178.89
21.01.2023 19:00,143.52
21.01.2023 20:00,138.53
21.01.2023 21:00,136.04
21.01.2023 22:00,131.88
21.01.2023 23:00,117.76
22.01.2023 00:00,127.60
22.01.2023 01:00,119.01
22.01.2023 02:00,116.77
22.01.2023 03:00,118.35
22.01.2023 04:00,122.12
22.01.2023 05:00,117.79
22.01.2023 06:00,127.60
22.01.2023 07:00,127.60
22.01.2023 08:00,137.51
22.01.2023 09:00,145.82
22.01.2023 10:00,151.28
22.01.2023 11:00,153.10
22.01.2023 12:00,146.30
22.01.2023 13:00,150.00
22.01.2023 14:00,154.90
22.01.2023 15:00,157.49
22.01.2023 16:00,171.03
22.01.2023 17:00,191.99
22.01.2023 18:00,202.07
22.01.2023 19:00,199.17
22.01.2023 20:00,174.71
22.01.2023 21:00,166.40
22.01.2023 22:00,157.35
22.01.2023 23:00,148.30
23.01.2023 00:00,148.96
23.01.2023 01:00,149.00
23.01.2023 02:00,148.40
23.01.2023 03:00,147.59
23.01.2023 04:00,149.88
23.01.2023 05:00,150.32
23.01.2023 06:00,189.96
23.01.2023 07:00,226.54
23.01.2023 08:00,257.92
23.01.2023 09:00,270.22
23.01.2023 10:00,249.94
23.01.2023 11:00,230.23
23.01.2023 12:00,220.95
23.01.2023 13:00,219.18
23.01.2023 14:00,219.69
23.01.2023 15:00,218.99
23.01.2023 16:00,224.58
23.01.2023 17:00,248.90
23.01.2023 18:00,248.07
23.01.2023 19:00,223.19
23.01.2023 20:00,203.53
23.01.2023 21:00,184.01
23.01.2023 22:00,172.09
23.01.2023 23:00,157.01
24.01.2023 00:00,164.85
24.01.2023 01:00,160.05
24.01.2023 02:00,145.90
24.01.2023 03:00,142.40
24.01.2023 04:00,153.62
24.01.2023 05:00,156.70
24.01.2023 06:00,183.61
24.01.2023 07:00,210.08
24.01.2023 08:00,251.10
24.01.2023 09:00,256.43
24.01.2023 10:00,238.66
24.01.2023 11:00,229.96
24.01.2023 12:00,217.85
24.01.2023 13:00,205.99
24.01.2023 14:00,215.28
24.01.2023 15:00,217.98
24.01.2023 16:00,224.58
24.01.2023 17:00,250.00
24.01.2023 18:00,250.00
24.01.2023 19:00,231.14
24.01.2023 20:00,207.29
24.01.2023 21:00,175.45
24.01.2023 22:00,137.53
24.01.2023 23:00,128.70
25.01.2023 00:00,124.72
25.01.2023 01:00,120.25
25.01.2023 02:00,118.41
25.01.2023 03:00,116.66
25.01.2023 04:00,116.85
25.01.2023 05:00,120.89
25.01.2023 06:00,125.27
25.01.2023 07:00,163.99
25.01.2023 08:00,165.60
25.01.2023 09:00,154.77
25.01.2023 10:00,140.67
25.01.2023 11:00,133.96
25.01.2023 12:00,131.19
25.01.2023 13:00,130.85
25.01.2023 14:00,130.50
25.01.2023 15:00,118.26
25.01.2023 16:00,133.35
25.01.2023 17:00,143.81
25.01.2023 18:00,139.52
25.01.2023 19:00,131.38
25.01.2023 20:00,150.00
25.01.2023 21:00,144.30
25.01.2023 22:00,145.08
25.01.2023 23:00,135.00
26.01.2023 00:00,150.00
26.01.2023 01:00,129.38
26.01.2023 02:00,128.48
26.01.2023 03:00,126.61
26.01.2023 04:00,128.94
26.01.2023 05:00,124.00
26.01.2023 06:00,160.39
26.01.2023 07:00,182.49
26.01.2023 08:00,198.95
26.01.2023 09:00,199.06
26.01.2023 10:00,192.38
26.01.2023 11:00,178.00
26.01.2023 12:00,136.44
26.01.2023 13:00,130.00
26.01.2023 14:00,127.96
26.01.2023 15:00,135.48
26.01.2023 16:00,153.00
26.01.2023 17:00,186.20
26.01.2023 18:00,150.00
26.01.2023 19:00,133.92
26.01.2023 20:00,128.09
26.01.2023 21:00,124.60
26.01.2023 22:00,125.19
26.01.2023 23:00,122.22
27.01.2023 00:00,135.00
27.01.2023 01:00,114.61
27.01.2023 02:00,119.74
27.01.2023 03:00,116.00
27.01.2023 04:00,124.08
27.01.2023 05:00,127.26
27.01.2023 06:00,149.70
27.01.2023 07:00,176.10
27.01.2023 08:00,195.00
27.01.2023 09:00,199.19
27.01.2023 10:00,195.00
27.01.2023 11:00,190.00
27.01.2023 12:00,183.06
27.01.2023 13:00,180.00
27.01.2023 14:00,181.50
27.01.2023 15:00,185.00
27.01.2023 16:00,188.00
27.01.2023 17:00,198.05
27.01.2023 18:00,200.70
27.01.2023 19:00,193.70
27.01.2023 20:00,181.50
27.01.2023 21:00,166.25
27.01.2023 22:00,155.12
27.01.2023 23:00,146.00
28.01.2023 00:00,139.90
28.01.2023 01:00,135.00
28.01.2023 02:00,133.32
28.01.2023 03:00,129.47
28.01.2023 04:00,125.22
28.01.2023 05:00,122.82
28.01.2023 06:00,128.80
28.01.2023 07:00,118.25
28.01.2023 08:00,116.94
28.01.2023 09:00,117.14
28.01.2023 10:00,119.03
28.01.2023 11:00,117.12
28.01.2023 12:00,112.61
28.01.2023 13:00,111.43
28.01.2023 14:00,110.66
28.01.2023 15:00,109.70
28.01.2023 16:00,112.62
28.01.2023 17:00,114.20
28.01.2023 18:00,112.66
28.01.2023 19:00,111.56
28.01.2023 20:00,109.12
28.01.2023 21:00,107.21
28.01.2023 22:00,107.12
28.01.2023 23:00,104.28
29.01.2023 00:00,106.77
29.01.2023 01:00,104.32
29.01.2023 02:00,102.11
29.01.2023 03:00,101.49
29.01.2023 04:00,101.18
29.01.2023 05:00,101.95
29.01.2023 06:00,100.84
29.01.2023 07:00,101.95
29.01.2023 08:00,102.20
29.01.2023 09:00,102.89
29.01.2023 10:00,99.18
29.01.2023 11:00,97.50
29.01.2023 12:00,95.66
29.01.2023 13:00,94.38
29.01.2023 14:00,94.08
29.01.2023 15:00,94.05
29.01.2023 16:00,94.35
29.01.2023 17:00,94.95
29.01.2023 18:00,91.42
29.01.2023 19:00,91.16
29.01.2023 20:00,91.01
29.01.2023 21:00,85.00
29.01.2023 22:00,79.83
29.01.2023 23:00,64.36
30.01.2023 00:00,45.00
30.01.2023 01:00,5.90
30.01.2023 02:00,5.07
30.01.2023 03:00,2.03
30.01.2023 04:00,9.03
30.01.2023 05:00,37.47
30.01.2023 06:00,88.10
30.01.2023 07:00,93.54
30.01.2023 08:00,99.08
30.01.2023 09:00,94.84
30.01.2023 10:00,92.31
30.01.2023 11:00,88.23
30.01.2023 12:00,84.90
30.01.2023 13:00,83.38
30.01.2023 14:00,87.55
30.01.2023 15:00,86.12
30.01.2023 16:00,89.69
30.01.2023 17:00,94.15
30.01.2023 18:00,91.36
30.01.2023 19:00,92.34
30.01.2023 20:00,89.95
30.01.2023 21:00,86.85
30.01.2023 22:00,88.15
30.01.2023 23:00,89.73
